Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
29,MCL 12-26,Backtest,EsempioTrendCL,Long,1,75.41,76.91,5/8/2024 11:30:00 AM,5/8/2024 2:35:00 PM,Entry_Long,Profit target,$150.00,$1723.50,$0.00,$0.00,$0.00,$0.00,$0.00,$14.66,$207.33,$57.33,37,
30,MCL 12-26,Backtest,EsempioTrendCL,Short,1,75.98,76.78,5/24/2024 10:15:00 AM,5/24/2024 11:40:00 AM,Entry_Short,Stop loss,($80.00),$1643.50,$0.00,$0.00,$0.00,$0.00,$0.00,$82.19,$58.95,$138.95,17,
31,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.01,75.21,5/30/2024 10:30:00 AM,5/30/2024 11:50:00 AM,Entry_Long,Stop loss,($80.00),$1563.50,$0.00,$0.00,$0.00,$0.00,$0.00,$111.06,$9.38,$89.38,16,
32,MCL 12-26,Backtest,EsempioTrendCL,Long,1,77.21,77.07,6/3/2024 12:45:00 PM,6/3/2024 1:10:00 PM,Entry_Long,Exit on session close,($14.00),$1549.50,$0.00,$0.00,$0.00,$0.00,$0.00,$40.17,$45.17,$59.17,5,
33,MCL 12-26,Backtest,EsempioTrendCL,Long,1,77.00,76.20,6/5/2024 12:00:00 PM,6/5/2024 2:35:00 PM,Entry_Long,Stop loss,($80.00),$1469.50,$0.00,$0.00,$0.00,$0.00,$0.00,$103.86,$31.24,$111.24,31,
34,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.92,77.14,6/7/2024 9:35:00 AM,6/7/2024 12:05:00 PM,Entry_Long,Exit on session close,$22.00,$1491.50,$0.00,$0.00,$0.00,$0.00,$0.00,$14.47,$49.22,$27.22,30,
35,MCL 12-26,Backtest,EsempioTrendCL,Short,1,74.50,75.30,6/10/2024 9:35:00 AM,6/10/2024 9:45:00 AM,Entry_Short,Stop loss,($80.00),$1411.50,$0.00,$0.00,$0.00,$0.00,$0.00,$105.10,$1.41,$81.41,2,
36,MCL 12-26,Backtest,EsempioTrendCL,Long,1,74.11,75.61,6/13/2024 1:25:00 PM,6/13/2024 4:45:00 PM,Entry_Long,Profit target,$150.00,$1561.50,$0.00,$0.00,$0.00,$0.00,$0.00,$28.18,$188.00,$38.00,40,
37,MCL 12-26,Backtest,EsempioTrendCL,Long,1,74.90,76.40,6/17/2024 11:45:00 AM,6/17/2024 2:50:00 PM,Entry_Long,Profit target,$150.00,$1711.50,$0.00,$0.00,$0.00,$0.00,$0.00,$12.95,$154.14,$4.14,37,
38,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.58,78.08,6/19/2024 1:10:00 PM,6/19/2024 3:05:00 PM,Entry_Long,Profit target,$150.00,$1861.50,$0.00,$0.00,$0.00,$0.00,$0.00,$13.28,$194.99,$44.99,23,
39,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.24,75.44,6/24/2024 1:20:00 PM,6/24/2024 2:05:00 PM,Entry_Long,Stop loss,($80.00),$1781.50,$0.00,$0.00,$0.00,$0.00,$0.00,$98.39,$56.77,$136.77,9,
40,MCL 12-26,Backtest,EsempioTrendCL,Short,1,77.03,77.83,6/25/2024 11:00:00 AM,6/25/2024 1:15:00 PM,Entry_Short,Stop loss,($80.00),$1701.50,$0.00,$0.00,$0.00,$0.00,$0.00,$101.11,$12.67,$92.67,27,
41,MCL 12-26,Backtest,EsempioTrendCL,Short,1,78.40,76.90,6/27/2024 11:10:00 AM,6/27/2024 1:00:00 PM,Entry_Short,Profit target,$150.00,$1851.50,$0.00,$0.00,$0.00,$0.00,$0.00,$19.93,$188.60,$38.60,22,
42,MCL 12-26,Backtest,EsempioTrendCL,Short,1,78.93,79.73,6/28/2024 10:55:00 AM,6/28/2024 11:45:00 AM,Entry_Short,Stop loss,($80.00),$1771.50,$0.00,$0.00,$0.00,$0.00,$0.00,$91.71,$23.45,$103.45,10,
43,MCL 12-26,Backtest,EsempioTrendCL,Short,1,77.67,77.91,7/5/2024 10:40:00 AM,7/5/2024 11:05:00 AM,Entry_Short,Exit on session close,($24.00),$1747.50,$0.00,$0.00,$0.00,$0.00,$0.00,$51.31,$37.17,$61.17,5,
44,MCL 12-26,Backtest,EsempioTrendCL,Long,1,77.58,76.78,7/10/2024 11:45:00 AM,7/10/2024 12:55:00 PM,Entry_Long,Stop loss,($80.00),$1667.50,$0.00,$0.00,$0.00,$0.00,$0.00,$100.26,$49.23,$129.23,14,
45,MCL 12-26,Backtest,EsempioTrendCL,Short,1,77.09,76.73,8/1/2024 12:10:00 PM,8/1/2024 12:45:00 PM,Entry_Short,Exit on session close,$36.50,$1704.00,$0.00,$0.00,$0.00,$0.00,$0.00,$23.73,$66.56,$30.06,7,
46,MCL 12-26,Backtest,EsempioTrendCL,Long,1,78.23,78.56,8/7/2024 12:30:00 PM,8/7/2024 3:10:00 PM,Entry_Long,Exit on session close,$32.50,$1736.50,$0.00,$0.00,$0.00,$0.00,$0.00,$22.09,$52.21,$19.71,32,
47,MCL 12-26,Backtest,EsempioTrendCL,Short,1,78.54,78.03,8/15/2024 10:50:00 AM,8/15/2024 12:45:00 PM,Entry_Short,Exit on session close,$51.00,$1787.50,$0.00,$0.00,$0.00,$0.00,$0.00,$23.34,$55.59,$4.59,23,
48,MCL 12-26,Backtest,EsempioTrendCL,Long,1,79.82,79.02,8/23/2024 10:05:00 AM,8/23/2024 10:50:00 AM,Entry_Long,Stop loss,($80.00),$1707.50,$0.00,$0.00,$0.00,$0.00,$0.00,$85.41,$25.73,$105.73,9,
49,MCL 12-26,Backtest,EsempioTrendCL,Short,1,80.86,81.66,8/26/2024 10:25:00 AM,8/26/2024 12:00:00 PM,Entry_Short,Stop loss,($80.00),$1627.50,$0.00,$0.00,$0.00,$0.00,$0.00,$111.34,$5.66,$85.66,19,
50,MCL 12-26,Backtest,EsempioTrendCL,Long,1,79.43,80.93,8/27/2024 10:10:00 AM,8/27/2024 1:10:00 PM,Entry_Long,Profit target,$150.00,$1777.50,$0.00,$0.00,$0.00,$0.00,$0.00,$27.67,$181.21,$31.21,36,
51,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.49,77.99,8/28/2024 10:40:00 AM,8/28/2024 1:00:00 PM,Entry_Long,Profit target,$150.00,$1927.50,$0.00,$0.00,$0.00,$0.00,$0.00,$27.72,$161.25,$11.25,28,
52,MCL 12-26,Backtest,EsempioTrendCL,Long,1,75.63,74.83,8/29/2024 11:35:00 AM,8/29/2024 12:05:00 PM,Entry_Long,Stop loss,($80.00),$1847.50,$0.00,$0.00,$0.00,$0.00,$0.00,$86.74,$31.38,$111.38,6,
53,MCL 12-26,Backtest,EsempioTrendCL,Long,1,74.60,73.80,9/2/2024 9:45:00 AM,9/2/2024 12:10:00 PM,Entry_Long,Stop loss,($80.00),$1767.50,$0.00,$0.00,$0.00,$0.00,$0.00,$96.44,$52.81,$132.81,29,
54,MCL 12-26,Backtest,EsempioTrendCL,Long,1,73.71,72.91,9/3/2024 12:45:00 PM,9/3/2024 3:50:00 PM,Entry_Long,Stop loss,($80.00),$1687.50,$0.00,$0.00,$0.00,$0.00,$0.00,$83.22,$29.87,$109.87,37,
55,MCL 12-26,Backtest,EsempioTrendCL,Long,1,73.89,73.09,9/10/2024 11:00:00 AM,9/10/2024 2:10:00 PM,Entry_Long,Stop loss,($80.00),$1607.50,$0.00,$0.00,$0.00,$0.00,$0.00,$91.69,$31.28,$111.28,38,
56,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.13,77.63,9/12/2024 1:30:00 PM,9/12/2024 4:40:00 PM,Entry_Long,Profit target,$150.00,$1757.50,$0.00,$0.00,$0.00,$0.00,$0.00,$5.56,$169.88,$19.88,38,
57,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.78,78.28,9/18/2024 10:55:00 AM,9/18/2024 2:10:00 PM,Entry_Long,Profit target,$150.00,$1907.50,$0.00,$0.00,$0.00,$0.00,$0.00,$22.02,$185.35,$35.35,39,
58,MCL 12-26,Backtest,EsempioTrendCL,Long,1,75.77,77.27,9/20/2024 10:00:00 AM,9/20/2024 11:35:00 AM,Entry_Long,Profit target,$150.00,$2057.50,$0.00,$0.00,$0.00,$0.00,$0.00,$29.99,$152.35,$2.35,19,
59,MCL 12-26,Backtest,EsempioTrendCL,Short,1,75.31,73.81,10/3/2024 10:30:00 AM,10/3/2024 12:10:00 PM,Entry_Short,Profit target,$150.00,$2207.50,$0.00,$0.00,$0.00,$0.00,$0.00,$20.81,$207.16,$57.16,20,
60,MCL 12-26,Backtest,EsempioTrendCL,Long,1,74.64,76.14,10/4/2024 10:35:00 AM,10/4/2024 11:10:00 AM,Entry_Long,Profit target,$150.00,$2357.50,$0.00,$0.00,$0.00,$0.00,$0.00,$12.78,$203.99,$53.99,7,
61,MCL 12-26,Backtest,EsempioTrendCL,Short,1,75.09,73.59,10/7/2024 9:00:00 AM,10/7/2024 11:55:00 AM,Entry_Short,Profit target,$150.00,$2507.50,$0.00,$0.00,$0.00,$0.00,$0.00,$8.30,$174.93,$24.93,35,
62,MCL 12-26,Backtest,EsempioTrendCL,Short,1,74.37,75.17,10/9/2024 12:05:00 PM,10/9/2024 2:25:00 PM,Entry_Short,Stop loss,($80.00),$2427.50,$0.00,$0.00,$0.00,$0.00,$0.00,$108.22,$7.55,$87.55,28,
63,MCL 12-26,Backtest,EsempioTrendCL,Short,1,74.65,75.45,10/16/2024 10:50:00 AM,10/16/2024 2:00:00 PM,Entry_Short,Stop loss,($80.00),$2347.50,$0.00,$0.00,$0.00,$0.00,$0.00,$82.02,$20.73,$100.73,38,
64,MCL 12-26,Backtest,EsempioTrendCL,Short,1,76.19,76.99,10/17/2024 12:05:00 PM,10/17/2024 2:30:00 PM,Entry_Short,Stop loss,($80.00),$2267.50,$0.00,$0.00,$0.00,$0.00,$0.00,$109.63,$31.05,$111.05,29,
65,MCL 12-26,Backtest,EsempioTrendCL,Short,1,76.35,74.85,10/18/2024 11:15:00 AM,10/18/2024 11:40:00 AM,Entry_Short,Profit target,$150.00,$2417.50,$0.00,$0.00,$0.00,$0.00,$0.00,$7.94,$167.68,$17.68,5,
66,MCL 12-26,Backtest,EsempioTrendCL,Long,1,75.92,75.12,10/23/2024 10:55:00 AM,10/23/2024 12:35:00 PM,Entry_Long,Stop loss,($80.00),$2337.50,$0.00,$0.00,$0.00,$0.00,$0.00,$84.76,$37.85,$117.85,20,
67,MCL 12-26,Backtest,EsempioTrendCL,Long,1,77.11,76.31,10/25/2024 12:50:00 PM,10/25/2024 2:45:00 PM,Entry_Long,Stop loss,($80.00),$2257.50,$0.00,$0.00,$0.00,$0.00,$0.00,$82.44,$35.56,$115.56,23,
68,MCL 12-26,Backtest,EsempioTrendCL,Short,1,76.88,77.68,10/29/2024 1:20:00 PM,10/29/2024 4:20:00 PM,Entry_Short,Stop loss,($80.00),$2177.50,$0.00,$0.00,$0.00,$0.00,$0.00,$94.66,$28.30,$108.30,36,
69,MCL 12-26,Backtest,EsempioTrendCL,Short,1,77.70,76.20,10/31/2024 10:20:00 AM,10/31/2024 12:10:00 PM,Entry_Short,Profit target,$150.00,$2327.50,$0.00,$0.00,$0.00,$0.00,$0.00,$31.51,$208.28,$58.28,22,
70,MCL 12-26,Backtest,EsempioTrendCL,Long,1,77.62,76.82,11/5/2024 10:20:00 AM,11/5/2024 11:55:00 AM,Entry_Long,Stop loss,($80.00),$2247.50,$0.00,$0.00,$0.00,$0.00,$0.00,$85.41,$9.77,$89.77,19,
71,MCL 12-26,Backtest,EsempioTrendCL,Long,1,77.35,77.13,11/8/2024 11:35:00 AM,11/8/2024 12:30:00 PM,Entry_Long,Exit on session close,($22.00),$2225.50,$0.00,$0.00,$0.00,$0.00,$0.00,$51.37,$9.62,$31.62,11,
72,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.81,77.78,11/12/2024 10:50:00 AM,11/12/2024 12:20:00 PM,Entry_Long,Exit on session close,$97.00,$2322.50,$0.00,$0.00,$0.00,$0.00,$0.00,$6.21,$137.69,$40.69,18,
73,MCL 12-26,Backtest,EsempioTrendCL,Short,1,76.97,75.47,11/13/2024 1:55:00 PM,11/13/2024 3:10:00 PM,Entry_Short,Profit target,$150.00,$2472.50,$0.00,$0.00,$0.00,$0.00,$0.00,$6.37,$199.92,$49.92,15,
74,MCL 12-26,Backtest,EsempioTrendCL,Short,1,75.95,76.30,11/14/2024 1:55:00 PM,11/14/2024 5:00:00 PM,Entry_Short,Exit on session close,($35.00),$2437.50,$0.00,$0.00,$0.00,$0.00,$0.00,$47.33,$46.40,$81.40,37,
75,MCL 12-26,Backtest,EsempioTrendCL,Short,1,75.25,74.25,11/20/2024 11:05:00 AM,11/20/2024 11:15:00 AM,Entry_Short,Exit on session close,$100.00,$2537.50,$0.00,$0.00,$0.00,$0.00,$0.00,$11.12,$155.20,$55.20,2,
76,MCL 12-26,Backtest,EsempioTrendCL,Long,1,75.74,74.94,11/22/2024 1:35:00 PM,11/22/2024 2:20:00 PM,Entry_Long,Stop loss,($80.00),$2457.50,$0.00,$0.00,$0.00,$0.00,$0.00,$96.28,$48.20,$128.20,9,
77,MCL 12-26,Backtest,EsempioTrendCL,Long,1,73.81,75.31,11/27/2024 12:05:00 PM,11/27/2024 12:20:00 PM,Entry_Long,Profit target,$150.00,$2607.50,$0.00,$0.00,$0.00,$0.00,$0.00,$19.68,$180.28,$30.28,3,
78,MCL 12-26,Backtest,EsempioTrendCL,Short,1,71.47,70.80,12/2/2024 12:55:00 PM,12/2/2024 1:20:00 PM,Entry_Short,Exit on session close,$67.50,$2675.00,$0.00,$0.00,$0.00,$0.00,$0.00,$13.31,$111.50,$44.00,5,
79,MCL 12-26,Backtest,EsempioTrendCL,Long,1,71.27,72.77,12/6/2024 10:05:00 AM,12/6/2024 10:30:00 AM,Entry_Long,Profit target,$150.00,$2825.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.05,$185.38,$35.38,5,
80,MCL 12-26,Backtest,EsempioTrendCL,Short,1,71.74,70.24,12/16/2024 11:30:00 AM,12/16/2024 1:35:00 PM,Entry_Short,Profit target,$150.00,$2975.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.06,$184.99,$34.99,25,
81,MCL 12-26,Backtest,EsempioTrendCL,Long,1,71.99,73.49,12/17/2024 10:35:00 AM,12/17/2024 1:15:00 PM,Entry_Long,Profit target,$150.00,$3125.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.72,$195.45,$45.45,32,
82,MCL 12-26,Backtest,EsempioTrendCL,Long,1,72.17,71.37,12/20/2024 10:05:00 AM,12/20/2024 1:10:00 PM,Entry_Long,Stop loss,($80.00),$3045.00,$0.00,$0.00,$0.00,$0.00,$0.00,$85.88,$14.63,$94.63,37,
83,MCL 12-26,Backtest,EsempioTrendCL,Long,1,72.05,72.08,12/26/2024 1:40:00 PM,12/26/2024 4:25:00 PM,Entry_Long,Exit on session close,$3.00,$3048.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.97,$53.86,$50.86,33,
84,MCL 12-26,Backtest,EsempioTrendCL,Short,1,70.47,68.97,1/2/2025 1:00:00 PM,1/2/2025 2:55:00 PM,Entry_Short,Profit target,$150.00,$3198.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.10,$166.62,$16.62,23,
85,MCL 12-26,Backtest,EsempioTrendCL,Short,1,71.15,69.65,1/3/2025 11:40:00 AM,1/3/2025 1:00:00 PM,Entry_Short,Profit target,$150.00,$3348.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.26,$197.94,$47.94,16,
86,MCL 12-26,Backtest,EsempioTrendCL,Long,1,70.50,72.00,1/7/2025 10:25:00 AM,1/7/2025 11:50:00 AM,Entry_Long,Profit target,$150.00,$3498.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.17,$178.04,$28.04,17,
87,MCL 12-26,Backtest,EsempioTrendCL,Long,1,69.52,68.72,1/10/2025 9:20:00 AM,1/10/2025 11:45:00 AM,Entry_Long,Stop loss,($80.00),$3418.00,$0.00,$0.00,$0.00,$0.00,$0.00,$93.57,$48.83,$128.83,29,
88,MCL 12-26,Backtest,EsempioTrendCL,Long,1,70.42,71.92,1/17/2025 11:20:00 AM,1/17/2025 12:55:00 PM,Entry_Long,Profit target,$150.00,$3568.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.55,$178.52,$28.52,19,
89,MCL 12-26,Backtest,EsempioTrendCL,Long,1,68.94,70.44,1/22/2025 1:25:00 PM,1/22/2025 3:00:00 PM,Entry_Long,Profit target,$150.00,$3718.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.65,$188.65,$38.65,19,
90,MCL 12-26,Backtest,EsempioTrendCL,Long,1,69.62,70.18,1/31/2025 9:55:00 AM,1/31/2025 10:35:00 AM,Entry_Long,Exit on session close,$55.50,$3773.50,$0.00,$0.00,$0.00,$0.00,$0.00,$23.19,$95.27,$39.77,8,
91,MCL 12-26,Backtest,EsempioTrendCL,Long,1,69.06,68.26,2/5/2025 9:25:00 AM,2/5/2025 10:20:00 AM,Entry_Long,Stop loss,($80.00),$3693.50,$0.00,$0.00,$0.00,$0.00,$0.00,$111.91,$41.88,$121.88,11,
92,MCL 12-26,Backtest,EsempioTrendCL,Long,1,70.39,69.59,2/7/2025 2:00:00 PM,2/7/2025 2:40:00 PM,Entry_Long,Stop loss,($80.00),$3613.50,$0.00,$0.00,$0.00,$0.00,$0.00,$85.90,$21.75,$101.75,8,
93,MCL 12-26,Backtest,EsempioTrendCL,Short,1,71.32,72.12,2/18/2025 9:00:00 AM,2/18/2025 11:20:00 AM,Entry_Short,Stop loss,($80.00),$3533.50,$0.00,$0.00,$0.00,$0.00,$0.00,$108.59,$14.78,$94.78,28,
94,MCL 12-26,Backtest,EsempioTrendCL,Long,1,70.16,69.36,2/20/2025 12:55:00 PM,2/20/2025 3:15:00 PM,Entry_Long,Stop loss,($80.00),$3453.50,$0.00,$0.00,$0.00,$0.00,$0.00,$90.78,$43.31,$123.31,28,
95,MCL 12-26,Backtest,EsempioTrendCL,Long,1,71.73,70.93,2/27/2025 11:55:00 AM,2/27/2025 1:25:00 PM,Entry_Long,Stop loss,($80.00),$3373.50,$0.00,$0.00,$0.00,$0.00,$0.00,$93.48,$45.77,$125.77,18,
96,MCL 12-26,Backtest,EsempioTrendCL,Long,1,71.93,73.43,2/28/2025 1:00:00 PM,2/28/2025 3:20:00 PM,Entry_Long,Profit target,$150.00,$3523.50,$0.00,$0.00,$0.00,$0.00,$0.00,$30.97,$159.44,$9.44,28,
97,MCL 12-26,Backtest,EsempioTrendCL,Short,1,70.66,69.16,3/6/2025 9:00:00 AM,3/6/2025 11:25:00 AM,Entry_Short,Profit target,$150.00,$3673.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.25,$198.79,$48.79,29,
98,MCL 12-26,Backtest,EsempioTrendCL,Short,1,70.90,69.40,3/7/2025 1:20:00 PM,3/7/2025 2:20:00 PM,Entry_Short,Profit target,$150.00,$3823.50,$0.00,$0.00,$0.00,$0.00,$0.00,$16.63,$172.31,$22.31,12,
99,MCL 12-26,Backtest,EsempioTrendCL,Long,1,69.01,68.21,3/17/2025 12:10:00 PM,3/17/2025 1:50:00 PM,Entry_Long,Stop loss,($80.00),$3743.50,$0.00,$0.00,$0.00,$0.00,$0.00,$102.91,$23.99,$103.99,20,
100,MCL 12-26,Backtest,EsempioTrendCL,Long,1,68.28,67.48,3/18/2025 12:35:00 PM,3/18/2025 2:10:00 PM,Entry_Long,Stop loss,($80.00),$3663.50,$0.00,$0.00,$0.00,$0.00,$0.00,$97.08,$13.50,$93.50,19,
